PLAYERS,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Sam Burns,308.5,179.27,0.584,32.42,0.3138,0.6395,35.06,56.93,0.6761,0.476,8.84,7.94,10.33,7.0,0.0233,0.5103
Sam Ryder,293.2,170.2,0.5418,30.01,0.3227,0.6287,32.13,53.7,0.3921,0.489,12.07,8.06,11.54,7.81,0.0088,0.5545
Sam Stevens,307.8,177.19,0.5576,28.75,0.3326,0.6816,31.98,51.41,0.4335,0.6082,9.09,9.61,14.81,7.61,0.0235,0.442
Satoshi Kodaira,284.8,162.0,0.6992,24.04,0.1862,0.6605,31.65,49.47,0.3084,0.4865,9.57,8.2,9.62,7.96,0.0432,0.4058
Scott Brown,288.5,168.68,0.634,30.2,0.2764,0.6311,37.49,54.16,0.2,0.5118,9.31,7.73,16.05,7.78,0.0356,0.4032
Scott Harrington,305.9,179.12,0.5102,36.21,0.3421,0.6473,35.73,57.22,0.4786,0.5705,6.9,9.16,14.71,7.81,0.0362,0.3626
Scott Piercy,292.8,167.57,0.5504,29.16,0.3333,0.637,33.91,56.27,0.3881,0.5346,9.71,8.49,10.35,7.07,0.0335,0.4672
Scott Stallings,298.3,174.55,0.5661,30.2,0.3088,0.6461,33.9,52.42,0.5111,0.4946,6.87,9.82,16.08,8.26,0.0302,0.4891
Scottie Scheffler,308.3,177.91,0.6542,25.34,0.2516,0.7399,32.44,57.5,0.6686,0.5962,12.16,6.64,11.16,6.92,0.0114,0.4558
Seamus Power,298.7,176.82,0.5903,24.33,0.2881,0.6584,35.97,60.67,0.4976,0.5949,9.4,9.03,10.43,7.77,0.0175,0.4893
Sean O'Hair,287.7,169.01,0.6286,25.98,0.2593,0.6587,36.99,53.28,0.274,0.5874,8.84,6.06,14.14,7.08,0.0317,0.4306
Sepp Straka,295.7,169.87,0.6284,27.4,0.2554,0.6748,33.1,56.31,0.4918,0.5181,10.89,8.49,11.42,7.67,0.0231,0.5331
