PLAYERS,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Rasmus Højgaard,314.3,186.46,0.5537,40.11,0.3276,0.6432,34.09,49.27,0.7143,0.5443,8.12,8.23,10.4,7.18,0.0363,0.4345
Rickie Fowler,302.1,174.01,0.5961,30.36,0.2629,0.633,34.22,54.51,0.6371,0.4919,8.18,7.93,12.68,6.72,0.0135,0.4286
Ricky Castillo,308.3,175.87,0.5992,33.64,0.3153,0.6883,33.5,52.08,0.5474,0.6768,12.08,7.79,16.09,7.24,0.0247,0.4259
Rico Hoey,304.7,175.77,0.6756,26.32,0.2514,0.7076,31.33,52.43,0.6566,0.5882,11.41,7.14,11.0,7.68,0.038,0.3121
Rikuya Hoshino,297.0,172.03,0.5907,24.16,0.3739,0.625,30.69,49.66,0.4754,0.538,8.53,8.09,9.71,7.23,0.0218,0.4504
Robert MacIntyre,297.8,175.53,0.6482,24.55,0.2358,0.6979,32.67,51.96,0.7154,0.5723,9.26,7.57,16.82,7.74,0.0295,0.4667
Rory McIlroy,317.5,184.87,0.5361,30.73,0.3587,0.6713,32.72,48.94,0.7073,0.5714,7.15,9.74,10.97,6.73,0.0394,0.473
Russell Henley,286.2,166.43,0.6771,21.14,0.219,0.7173,30.4,51.43,0.4646,0.5742,6.83,7.59,9.83,5.95,0.0229,0.5089
Ryan Fox,306.7,181.0,0.5254,33.54,0.3106,0.6239,31.5,50.7,0.5618,0.5357,10.44,7.29,12.69,7.27,0.0171,0.4667
Ryan Gerard,301.8,173.84,0.5972,27.67,0.2758,0.6534,34.42,51.51,0.6434,0.5948,11.19,7.43,13.01,7.23,0.0265,0.457
Ryan Palmer,295.9,168.55,0.5331,30.34,0.3462,0.5949,38.98,63.11,0.6032,0.5355,7.59,9.08,11.15,7.67,0.037,0.4348
Ryo Hisatsune,296.0,170.76,0.6118,29.27,0.2568,0.6759,33.1,51.86,0.5512,0.5654,7.49,8.2,9.17,6.88,0.0201,0.4648
Sahith Theegala,302.0,175.79,0.5609,33.1,0.3191,0.6365,34.75,54.04,0.697,0.4947,10.66,8.52,12.5,7.83,0.0314,0.4226
Sam Burns,304.4,177.5,0.5974,26.86,0.2991,0.6535,34.88,58.26,0.7101,0.5209,10.75,11.1,11.96,8.72,0.0161,0.5455
Sam Ryder,298.5,172.23,0.5931,27.9,0.2716,0.6625,32.43,49.75,0.5944,0.5561,9.62,7.78,15.21,7.38,0.0181,0.5221
Sam Stevens,304.5,175.47,0.5931,32.7,0.3083,0.6594,32.59,52.55,0.6108,0.5659,9.55,6.97,10.86,6.92,0.0242,0.4324
Sami Valimaki,299.8,172.78,0.5949,31.02,0.2845,0.6637,32.55,49.28,0.5612,0.5317,12.62,9.05,12.71,8.09,0.0225,0.5662
Scottie Scheffler,301.7,175.42,0.6486,26.45,0.2338,0.7014,30.34,50.41,0.6667,0.5256,9.84,7.58,10.34,6.25,0.0226,0.4848
Seamus Power,299.6,172.5,0.6208,31.95,0.2865,0.6593,30.28,49.14,0.449,0.5032,7.41,6.9,12.5,6.35,0.0296,0.4231
Sepp Straka,295.6,168.49,0.6753,22.78,0.2284,0.721,29.87,48.73,0.6855,0.505,10.22,7.49,10.55,7.26,0.0215,0.4572
Shane Lowry,294.4,172.38,0.6292,21.07,0.2761,0.6471,32.17,52.56,0.569,0.5086,7.97,7.17,6.19,6.12,0.0261,0.5027
Si Woo Kim,295.2,169.52,0.6406,21.91,0.2278,0.6653,32.9,52.32,0.6948,0.5446,7.76,5.01,10.3,6.37,0.0222,0.498
Stephan Jaeger,303.3,179.2,0.5428,38.11,0.3053,0.6604,33.44,53.91,0.6087,0.554,7.52,8.66,11.2,6.95,0.024,0.4754
Steven Fisk,310.1,175.01,0.6173,26.17,0.2883,0.6987,34.83,54.12,0.5895,0.6243,10.91,6.56,10.75,6.84,0.0303,0.4354
Sungjae Im,294.3,172.47,0.6761,24.8,0.2204,0.6421,36.29,54.02,0.6755,0.5179,7.75,8.66,10.29,6.77,0.0207,0.5128
Takumi Kanaya,288.1,166.95,0.7357,22.27,0.1925,0.6667,35.35,54.81,0.3818,0.506,8.03,9.71,13.03,7.83,0.0314,0.4474
Taylor Dickson,297.9,170.89,0.5676,32.9,0.3185,0.6029,33.88,49.26,0.5068,0.5125,8.11,8.77,10.96,7.26,0.0432,0.4252
Taylor Montgomery,301.8,175.45,0.544,35.97,0.325,0.6369,33.94,51.39,0.6351,0.5341,10.23,7.79,11.53,7.38,0.0258,0.5972
Taylor Moore,308.3,178.4,0.6041,29.53,0.2652,0.684,35.45,53.84,0.6783,0.5886,6.54,7.26,8.99,6.16,0.0295,0.4746
Taylor Pendrith,306.9,180.86,0.6278,29.53,0.2746,0.7076,32.49,51.53,0.6691,0.5909,8.95,9.72,17.48,7.64,0.0336,0.4519
Thomas Detry,303.9,178.3,0.5616,30.57,0.3167,0.6614,32.95,54.61,0.5806,0.5859,8.05,7.53,8.98,6.6,0.0251,0.4961
Thomas Rosenmueller,308.8,178.42,0.608,33.48,0.3347,0.682,30.39,50.85,0.6308,0.609,8.16,7.41,12.19,7.45,0.0268,0.4485
Thriston Lawrence,292.8,171.0,0.61,25.94,0.2736,0.6288,37.36,58.8,0.541,0.5641,10.79,8.64,12.23,7.79,0.053,0.4105
Tim Widing,311.4,182.76,0.5331,33.66,0.3218,0.6313,31.75,48.74,0.6735,0.5532,10.3,6.06,7.83,6.97,0.0227,0.4554
Tom Hoge,293.4,170.28,0.6142,27.12,0.2585,0.6389,30.83,50.51,0.5926,0.532,9.06,7.24,12.2,7.13,0.0278,0.5018
Tom Kim,303.7,170.85,0.6173,24.15,0.2638,0.6492,31.73,53.31,0.5575,0.5376,10.51,7.26,11.97,7.21,0.046,0.4428
Tommy Fleetwood,295.2,172.92,0.6441,25.75,0.2526,0.6372,32.06,53.72,0.5882,0.5,9.01,9.06,10.74,7.25,0.0191,0.3876
Tony Finau,302.0,180.5,0.6062,32.12,0.286,0.6652,34.08,51.79,0.6014,0.5735,9.36,8.0,10.58,7.01,0.0345,0.4163
Trevor Cone,308.9,180.63,0.5382,39.77,0.3967,0.657,37.43,58.39,0.5849,0.5586,11.77,7.49,14.47,8.79,0.0411,0.3556
Trey Mullinax,312.2,182.4,0.5078,32.54,0.3088,0.6925,33.11,57.73,0.6588,0.5947,13.33,10.17,19.61,9.63,0.0198,0.4531
Victor Perez,302.2,175.72,0.6534,21.79,0.2621,0.6774,37.01,57.17,0.7033,0.6393,10.38,9.3,10.53,7.88,0.0214,0.4593
Viktor Hovland,298.7,174.32,0.6456,26.1,0.2468,0.6688,30.69,49.02,0.6186,0.5504,8.86,8.0,12.56,6.85,0.0256,0.4654
Vince Whaley,306.5,179.45,0.5201,34.25,0.3728,0.6373,36.23,57.61,0.618,0.5523,9.37,8.13,9.95,7.2,0.0108,0.5032
Vincent Norrman,312.3,181.47,0.5576,34.12,0.3357,0.7338,33.59,54.43,0.6538,0.5753,14.49,9.26,12.81,9.57,0.0394,0.3684
Will Chandler,295.7,171.19,0.6056,33.05,0.2872,0.6022,35.21,54.33,0.4831,0.4643,9.22,8.87,11.69,7.11,0.0305,0.4397
Will Gordon,310.0,186.34,0.5364,30.63,0.3497,0.6782,33.7,51.36,0.5897,0.5817,10.87,8.9,10.78,7.75,0.044,0.4074
Will Zalatoris,298.8,176.78,0.6092,26.35,0.2888,0.6977,30.95,52.08,0.5115,0.5806,8.82,7.76,11.39,7.27,0.0261,0.4216
William Mouw,304.8,176.1,0.5563,31.78,0.3801,0.6452,34.75,55.03,0.5455,0.5344,9.71,9.93,10.6,8.07,0.0341,0.5074
Wyndham Clark,309.6,185.44,0.5536,35.86,0.3511,0.6728,30.43,51.37,0.5984,0.5511,9.03,7.78,9.56,6.68,0.0293,0.4833
Xander Schauffele,303.2,182.53,0.5417,27.44,0.2986,0.6806,31.02,49.18,0.7222,0.539,7.66,8.82,12.02,6.91,0.0255,0.4198
Zach Johnson,284.6,161.69,0.6898,22.71,0.2645,0.6523,33.42,54.22,0.3478,0.5345,9.42,6.34,8.66,6.77,0.0103,0.438
