PLAYERS,Year_to_Model,Avg_Score,Predicted_Avg_Score,Weighted_Avg_Past_Score_Z,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Luke Donald,2022,70.0,70.29,1.2563,-1.8043,-1.336,-0.9029,-0.2255,-0.6264,-2.041,0.3073,-0.5842,-1.9692,-0.3244,0.2156,-0.7855,1.2156,1.5662,-0.7923,1.5384
Harry Higgs,2022,70.0,69.07,0.2552,0.3129,-0.2736,-1.4708,-0.978,-0.6146,0.1978,-0.5221,-0.8482,-1.3201,0.9794,0.6752,0.3899,-0.2526,-0.2036,1.2127,-1.1837
Satoshi Kodaira,2022,70.0,69.61,1.2563,-1.4862,-1.7861,2.0664,0.9936,2.5451,0.1539,1.131,1.3163,-1.5057,-1.0191,0.0891,0.3141,1.3148,-0.4565,-2.0981,-1.348
Luke List,2022,70.0,68.54,0.1122,1.3441,1.2339,-1.0746,-0.2214,-1.2305,0.9655,0.2791,0.4966,1.3441,2.1118,-0.5038,-1.0509,-0.6098,-0.9622,-0.9637,-2.3174
Scott Piercy,2022,70.0,69.65,-0.3169,-0.6085,-0.8744,-0.7407,-0.059,-0.9261,-0.6409,-0.1441,-0.5731,-0.777,0.1253,-0.0042,0.0392,0.9527,0.9499,-0.8187,0.1363
Andrew Putnam,2022,70.0,68.31,0.2552,-1.5081,-1.061,0.9477,1.1746,0.5534,1.1718,-0.9734,-0.9538,-0.5539,0.0753,1.0682,0.1245,0.4021,0.302,1.5688,1.038
Sam Ryder,2022,70.0,69.23,-0.8889,-0.5647,-0.4439,-0.9029,-0.2338,-0.676,-0.9216,0.8602,0.141,-0.7404,-0.9596,-1.5762,0.4468,0.3624,-0.2194,2.4394,2.2467
Brendon Todd,2022,70.0,69.22,-0.1,-1.8262,-2.1069,1.5344,1.0471,1.3062,-0.2182,0.3807,-0.1869,-1.3183,-1.2142,0.4687,0.4657,0.7642,1.2818,1.1995,1.7922
Ryan Brehm,2022,70.5,69.82,-0.0308,0.8615,1.4614,-2.1386,-1.2289,-2.3089,-1.855,-1.0524,-0.8927,0.2955,-0.4053,-0.8169,-1.4111,-0.7189,-1.8945,-1.0956,0.0202
Kramer Hickok,2022,70.5,69.22,-0.0308,-0.06,-0.4864,0.7062,0.3563,0.1192,0.1403,-0.1384,-0.9093,-0.1059,-0.8787,0.8884,-0.6623,-0.1435,0.7761,-1.5705,-0.4149
Mackenzie Hughes,2022,70.5,68.89,-0.1,0.0058,0.2812,-1.1369,-0.5771,-1.8417,-0.9182,-1.1822,-0.0869,0.7361,-1.6067,-0.6903,0.7691,-0.208,0.7603,1.1072,1.0355
Si Woo Kim,2022,70.5,67.86,0.2552,-0.3233,-0.8826,1.4438,1.4007,1.7758,0.5292,1.2269,0.1048,1.0735,-1.1119,1.2947,-0.321,0.4071,0.5865,0.0651,-0.1828
Hank Lebioda,2022,70.5,69.46,1.1133,-0.2904,-0.3162,-0.137,0.2884,0.7823,0.5901,0.1098,0.0493,-1.62,0.8057,-0.3839,-0.6812,-1.1901,0.0176,-1.5046,0.0734
